S,R,Z,Psi
5.24,0.0523684,0.0016317,0.0523951
5.25,0.0524682,0.00163744,0.0524951
5.26,0.052568,0.00164318,0.0525951
5.27,0.0526679,0.00164894,0.052695
5.28,0.0527677,0.0016547,0.052795
5.29,0.0528675,0.00166048,0.052895
5.3,0.0529674,0.00166627,0.052995
5.31,0.0530672,0.00167206,0.0530949
5.32,0.053167,0.00167787,0.0531949
5.33,0.0532669,0.00168369,0.0532949
5.34,0.0533667,0.00168951,0.0533949
5.35,0.0534665,0.00169535,0.0534949
5.36,0.0535664,0.00170119,0.0535948
5.37,0.0536662,0.00170705,0.0536948
5.38,0.053766,0.00171292,0.0537948
5.39,0.0538658,0.00171879,0.0538948
5.4,0.0539657,0.00172468,0.0539947
5.41,0.0540655,0.00173057,0.0540947
5.42,0.0541653,0.00173648,0.0541947
5.43,0.0542651,0.00174239,0.0542947
5.44,0.054365,0.00174832,0.0543946
5.45,0.0544648,0.00175426,0.0544946
5.46,0.0545646,0.0017602,0.0545946
5.47,0.0546644,0.00176616,0.0546946
5.48,0.0547643,0.00177212,0.0547946
5.49,0.0548641,0.0017781,0.0548945
5.5,0.0549639,0.00178409,0.0549945
5.51,0.0550637,0.00179008,0.0550945
5.52,0.0551635,0.00179609,0.0551945
5.53,0.0552634,0.0018021,0.0552944
5.54,0.0553632,0.00180813,0.0553944
5.55,0.055463,0.00181416,0.0554944
5.56,0.0555628,0.00182021,0.0555944
5.57,0.0556626,0.00182626,0.0556943
5.58,0.0557624,0.00183233,0.0557943
5.59,0.0558622,0.00183841,0.0558943
5.6,0.0559621,0.00184449,0.0559943
5.61,0.0560619,0.00185059,0.0560942
5.62,0.0561617,0.00185669,0.0561942
5.63,0.0562615,0.00186281,0.0562942
5.64,0.0563613,0.00186893,0.0563942
5.65,0.0564611,0.00187507,0.0564941
5.66,0.0565609,0.00188121,0.0565941
5.67,0.0566607,0.00188737,0.0566941
5.68,0.0567606,0.00189353,0.0567941
5.69,0.0568604,0.00189971,0.056894
5.7,0.0569602,0.0019059,0.056994
5.71,0.05706,0.00191209,0.057094
5.72,0.0571598,0.0019183,0.057194
5.73,0.0572596,0.00192451,0.0572939
5.74,0.0573594,0.00193074,0.0573939
5.75,0.0574592,0.00193697,0.0574939
5.76,0.057559,0.00194322,0.0575939
5.77,0.0576588,0.00194947,0.0576938
5.78,0.0577586,0.00195574,0.0577938
5.79,0.0578584,0.00196201,0.0578938
5.8,0.0579582,0.0019683,0.0579938
5.81,0.058058,0.00197459,0.0580937
5.82,0.0581578,0.0019809,0.0581937
5.83,0.0582576,0.00198721,0.0582937
5.84,0.0583574,0.00199354,0.0583937
5.85,0.0584572,0.00199987,0.0584936
5.86,0.058557,0.00200622,0.0585936
5.87,0.0586568,0.00201257,0.0586936
5.88,0.0587566,0.00201894,0.0587936
5.89,0.0588564,0.00202531,0.0588935
5.9,0.0589562,0.0020317,0.0589935
5.91,0.059056,0.00203809,0.0590935
5.92,0.0591558,0.0020445,0.0591935
5.93,0.0592556,0.00205091,0.0592934
5.94,0.0593554,0.00205734,0.0593934
5.95,0.0594552,0.00206377,0.0594934
