x1,y1,x2,y2vx1,vy1,vx2,vy2
-0.0300137, -0.562033, 0.0150068, 0.281017, -1.42123, 0.0407274, 0.710614, -0.0203637
-0.044211, -0.561346, 0.0221055, 0.280673, -1.41973, 0.0687474, 0.709866, -0.0343737
-0.0583863, -0.560379, 0.0291932, 0.280189, -1.41753, 0.0966959, 0.708766, -0.0483479
-0.0725326, -0.559133, 0.0362663, 0.279567, -1.41463, 0.124548, 0.707315, -0.0622738
-0.0866429, -0.55761, 0.0433215, 0.278805, -1.41103, 0.152277, 0.705516, -0.0761386
-0.10071, -0.555812, 0.0503552, 0.277906, -1.40675, 0.17986, 0.703373, -0.0899302
-0.114728, -0.553739, 0.0573641, 0.27687, -1.40178, 0.207273, 0.70089, -0.103636
-0.12869, -0.551394, 0.0643448, 0.275697, -1.39614, 0.234491, 0.69807, -0.117245
-0.142588, -0.548779, 0.071294, 0.27439, -1.38984, 0.261491, 0.694919, -0.130746
-0.156417, -0.545897, 0.0782084, 0.272948, -1.38289, 0.288252, 0.691443, -0.144126
-0.17017, -0.542749, 0.0850849, 0.271375, -1.37529, 0.314751, 0.687646, -0.157375
-0.18384, -0.53934, 0.0919202, 0.26967, -1.36707, 0.340967, 0.683536, -0.170483
-0.197423, -0.535671, 0.0987114, 0.267835, -1.35824, 0.36688, 0.67912, -0.18344
-0.210911, -0.531746, 0.105455, 0.265873, -1.34881, 0.39247, 0.674404, -0.196235
-0.224299, -0.527569, 0.112149, 0.263784, -1.33879, 0.41772, 0.669397, -0.20886
-0.237581, -0.523143, 0.118791, 0.261571, -1.32821, 0.442611, 0.664106, -0.221306
-0.250752, -0.518471, 0.125376, 0.259236, -1.31708, 0.467127, 0.658539, -0.233564
-0.263806, -0.513559, 0.131903, 0.256779, -1.30541, 0.491253, 0.652705, -0.245626
-0.276738, -0.508409, 0.138369, 0.254205, -1.29322, 0.514973, 0.646612, -0.257486
-0.289544, -0.503026, 0.144772, 0.251513, -1.28054, 0.538274, 0.640271, -0.269137
-0.302217, -0.497415, 0.151109, 0.248708, -1.26738, 0.561142, 0.633689, -0.280571
-0.314755, -0.491579, 0.157377, 0.24579, -1.25375, 0.583567, 0.626877, -0.291784
-0.327152, -0.485524, 0.163576, 0.242762, -1.23969, 0.605538, 0.619843, -0.302769
-0.339404, -0.479254, 0.169702, 0.239627, -1.22519, 0.627045, 0.612597, -0.313522
-0.351507, -0.472773, 0.175753, 0.236386, -1.2103, 0.648078, 0.605149, -0.324039
-0.363457, -0.466086, 0.181728, 0.233043, -1.19502, 0.668631, 0.597509, -0.334316
-0.375251, -0.4592, 0.187625, 0.2296, -1.17937, 0.688696, 0.589685, -0.344348
-0.386884, -0.452117, 0.193442, 0.226058, -1.16338, 0.708268, 0.581688, -0.354134
-0.398355, -0.444843, 0.199177, 0.222422, -1.14706, 0.727342, 0.573528, -0.363671
-0.409659, -0.437384, 0.20483, 0.218692, -1.13042, 0.745913, 0.565212, -0.372956
-0.420794, -0.429745, 0.210397, 0.214872, -1.1135, 0.763978, 0.556752, -0.381989
-0.431757, -0.421929, 0.215879, 0.210965, -1.09631, 0.781535, 0.548157, -0.390767
-0.442546, -0.413943, 0.221273, 0.206972, -1.07887, 0.798582, 0.539435, -0.399291
-0.453158, -0.405792, 0.226579, 0.202896, -1.06119, 0.815118, 0.530595, -0.407559
-0.463591, -0.397481, 0.231795, 0.19874, -1.04329, 0.831144, 0.521647, -0.415572
-0.473843, -0.389014, 0.236921, 0.194507, -1.0252, 0.846659, 0.512599, -0.42333
-0.483912, -0.380397, 0.241956, 0.190199, -1.00692, 0.861666, 0.50346, -0.430833
-0.493797, -0.371636, 0.246898, 0.185818, -0.988475, 0.876165, 0.494237, -0.438082
-0.503496, -0.362734, 0.251748, 0.181367, -0.96988, 0.890159, 0.48494, -0.44508
-0.513007, -0.353698, 0.256504, 0.176849, -0.951151, 0.903652, 0.475576, -0.451826
-0.52233, -0.344531, 0.261165, 0.172266, -0.932304, 0.916647, 0.466152, -0.458323
-0.531464, -0.33524, 0.265732, 0.16762, -0.913352, 0.929147, 0.456676, -0.464574
-0.540407, -0.325828, 0.270203, 0.162914, -0.894311, 0.941158, 0.447156, -0.470579
-0.549159, -0.316301, 0.274579, 0.158151, -0.875195, 0.952684, 0.437597, -0.476342
-0.557719, -0.306664, 0.278859, 0.153332, -0.856016, 0.963731, 0.428008, -0.481865
-0.566087, -0.296921, 0.283043, 0.148461, -0.836788, 0.974303, 0.418394, -0.487152
-0.574262, -0.287077, 0.287131, 0.143538, -0.817524, 0.984408, 0.408762, -0.492204
-0.582244, -0.277136, 0.291122, 0.138568, -0.798235, 0.99405, 0.399117, -0.497025
-0.590034, -0.267104, 0.295017, 0.133552, -0.778932, 1.00324, 0.389466, -0.501619
-0.59763, -0.256984, 0.298815, 0.128492, -0.759628, 1.01198, 0.379814, -0.505988
-0.605033, -0.246782, 0.302517, 0.123391, -0.740333, 1.02027, 0.370166, -0.510137
-0.612244, -0.2365, 0.306122, 0.11825, -0.721056, 1.02814, 0.360528, -0.514068
-0.619262, -0.226144, 0.309631, 0.113072, -0.701807, 1.03557, 0.350904, -0.517786
-0.626088, -0.215719, 0.313044, 0.107859, -0.682597, 1.04259, 0.341298, -0.521294
-0.632722, -0.205227, 0.316361, 0.102613, -0.663432, 1.04919, 0.331716, -0.524595
-0.639165, -0.194673, 0.319583, 0.0973364, -0.644322, 1.05539, 0.322161, -0.527694
-0.645418, -0.184061, 0.322709, 0.0920305, -0.625275, 1.06119, 0.312637, -0.530595
-0.651481, -0.173395, 0.325741, 0.0866974, -0.606298, 1.0666, 0.303149, -0.533301
